"","X","country","year","hourly_compensation"
"361",361,"Sri Lanka",1992,0.40000000596046
"362",362,"Sweden",1992,24.4099998474121
"363",363,"Switzerland",1992,22.9500007629395
"364",364,"Taiwan",1992,5.11999988555908
"365",365,"United Kingdom",1992,13.9799995422363
"366",366,"United States",1992,15.9499998092651
"367",367,"Australia",1993,12.6199998855591
"368",368,"Austria",1993,20.1100006103516
"369",369,"Belgium",1993,20.1499996185303
"370",370,"Canada",1993,16.9699993133545
"371",371,"Denmark",1993,19.6100006103516
"372",372,"Finland",1993,15.8100004196167
"373",373,"France",1993,16.5200004577637
"374",374,"Germany",1993,23.8899993896484
"375",375,"Greece",1993,7.05999994277954
"376",376,"Hong Kong, China",1993,4.28000020980835
"377",377,"Ireland",1993,12.3800001144409
"378",378,"Israel",1993,7.86999988555908
"379",379,"Italy",1993,15.9799995422363
"380",380,"Japan",1993,18.8600006103516
"381",381,"Korea, Rep.",1993,5.71000003814697
"382",382,"Luxembourg",1993,18.0400009155273
"383",383,"Mexico",1993,2.35999989509583
"384",384,"Netherlands",1993,19.7900009155273
"385",385,"New Zealand",1993,8.05000019073486
"386",386,"Norway",1993,20.5900001525879
"387",387,"Philippines",1993,0.75
"388",388,"Portugal",1993,4.30000019073486
"389",389,"Singapore",1993,5.21000003814697
"390",390,"Spain",1993,11.4899997711182
"391",391,"Sri Lanka",1993,0.41999998688698
"392",392,"Sweden",1993,17.4699993133545
"393",393,"Switzerland",1993,22.3600006103516
"394",394,"Taiwan",1993,5.15999984741211
"395",395,"United Kingdom",1993,12.2700004577637
"396",396,"United States",1993,16.3700008392334
"397",397,"Australia",1994,14.1300001144409
"398",398,"Austria",1994,21.4899997711182
"399",399,"Belgium",1994,21.9300003051758
"400",400,"Canada",1994,16.2900009155273
"401",401,"Denmark",1994,20.9300003051758
"402",402,"Finland",1994,18.1599998474121
"403",403,"France",1994,17.1000003814697
"404",404,"Germany",1994,25.3299999237061
"405",405,"Greece",1994,7.59000015258789
"406",406,"Hong Kong, China",1994,4.59999990463257
"407",407,"Hungary",1994,2.70000004768372
"408",408,"Ireland",1994,12.8999996185303
"409",409,"Israel",1994,8.19999980926514
"410",410,"Italy",1994,16.0900001525879
"411",411,"Japan",1994,20.9799995422363
"412",412,"Korea, Rep.",1994,6.34000015258789
"413",413,"Luxembourg",1994,19.8799991607666
"414",414,"Mexico",1994,2.74000000953674
"415",415,"Netherlands",1994,20.8400001525879
"416",416,"New Zealand",1994,9.09000015258789
"417",417,"Norway",1994,21.3999996185303
"418",418,"Philippines",1994,0.88999998569489
"419",419,"Portugal",1994,4.40000009536743
"420",420,"Singapore",1994,6.23000001907349
"421",421,"Spain",1994,11.3900003433228
"422",422,"Sri Lanka",1994,0.44999998807907
"423",423,"Sweden",1994,18.5799999237061
"424",424,"Switzerland",1994,24.6200008392334
"425",425,"Taiwan",1994,5.51000022888184
"426",426,"United Kingdom",1994,12.8299999237061
"427",427,"United States",1994,16.7800006866455
"428",428,"Australia",1995,15.3599996566772
"429",429,"Austria",1995,25.2600002288818
"430",430,"Belgium",1995,25.6800003051758
"431",431,"Canada",1995,16.5
"432",432,"Czech Rep.",1995,2.52999997138977
"433",433,"Denmark",1995,25.0200004577637
"434",434,"Finland",1995,22.6000003814697
"435",435,"France",1995,19.2399997711182
